Number,Method,ThreadCount,Duration,FactorCount,Factors,ThreadID
91,Method 1 (Expanded q Factorization),1,3.3414e-05,2,"13 × 7",254853627441504
91,Method 2 (Ultrafast with Structural Filter),1,3.9896e-05,2,"13 × 7",254853618987360
91,Method 3 (Parallelized with Dynamic Blocks),28,0.00076585,2,"13 × 7",254853610533216
1522605027922533,Method 1 (Expanded q Factorization),1,4.58106,4,"3 × 3 × 551069499791 × 307",254853610533216
1522605027922533,Method 2 (Ultrafast with Structural Filter),1,0.0623547,4,"3 × 3 × 551069499791 × 307",254853317849440
1522605027922533,Method 3 (Parallelized with Dynamic Blocks),28,0.00410121,4,"3 × 3 × 551069499791 × 307",254853326303584
9007199254740991,Method 1 (Expanded q Factorization),1,1.6148e-05,2,"1416003655831 × 6361",254853326303584
9007199254740991,Method 2 (Ultrafast with Structural Filter),1,1.5288e-05,2,"1416003655831 × 6361",254853317849440
9007199254740991,Method 3 (Parallelized with Dynamic Blocks),28,0.00133626,2,"1416003655831 × 6361",254853610533216
147573952589676412927,Method 1 (Expanded q Factorization),1,0.219699,2,"761838257287 × 193707721",254853610533216
147573952589676412927,Method 2 (Ultrafast with Structural Filter),1,0.216301,2,"761838257287 × 193707721",254853192085856
147573952589676412927,Method 3 (Parallelized with Dynamic Blocks),28,0.249771,2,"761838257287 × 193707721",254853217448288
